model,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,class_weight,train_acc,test_acc,gap
RandomForest,150,26.0,16,2,sqrt,False,,0.9994840164162162,0.7675656493967353,0.23191836701948088
RandomForest,300,29.0,8,2,log2,True,balanced,0.998848959697713,0.7673438608942512,0.23150509880346182
RandomForest,150,35.0,7,3,sqrt,False,balanced,0.9994840164162162,0.7672551454932577,0.23222887092295852
RandomForest,150,37.0,3,6,log2,False,,0.9980789534265279,0.7671220723917672,0.23095688103476064
RandomForest,100,21.0,8,4,log2,True,balanced_subsample,0.997999571336715,0.76694464158978,0.23105492974693498
RandomForest,150,32.0,5,6,log2,False,,0.9980154477546775,0.76694464158978,0.2310708061648975
RandomForest,300,34.0,2,3,sqrt,False,balanced,0.9995237074611226,0.7669002838892832,0.2326234235718394
RandomForest,300,23.0,7,2,sqrt,False,balanced,0.999642780595842,0.7669002838892832,0.23274249670655878
RandomForest,100,28.0,3,4,sqrt,True,balanced_subsample,0.9986901955180872,0.7668115684882896,0.23187862702979767
RandomForest,100,28.0,2,3,sqrt,False,balanced,0.9995475220880665,0.7668115684882896,0.23273595359977695
RandomForest,300,38.0,6,1,log2,False,balanced,0.999920617910187,0.7667228530872959,0.23319776482289112
RandomForest,300,28.0,7,3,log2,True,balanced_subsample,0.9983647289498543,0.7666341376863024,0.2317305912635519
RandomForest,300,34.0,2,2,sqrt,False,balanced,0.9998412358203742,0.7666341376863024,0.2332070981340718
RandomForest,150,21.0,8,2,log2,True,balanced,0.9985949370103118,0.7665897799858056,0.2320051570245062
RandomForest,150,38.0,5,4,sqrt,True,balanced,0.9987457629809562,0.7665010645848119,0.23224469839614426
RandomForest,150,36.0,9,2,sqrt,False,balanced,0.9996586570138045,0.7663236337828248,0.23333502323097977
RandomForest,150,22.0,8,3,log2,False,balanced,0.9987775158168813,0.7662349183818311,0.23254259743505024
RandomForest,300,24.0,5,3,sqrt,True,,0.9989283417875259,0.7661905606813343,0.2327377811061916
RandomForest,200,15.0,18,3,sqrt,False,balanced,0.9985949370103118,0.7661018452803406,0.23249309172997112
RandomForest,100,39.0,2,8,log2,False,,0.9971422447667357,0.7660574875798438,0.23108475718689192
