model,C,solver,class_weight,max_iter,train_acc,test_acc,gap
LogisticRegression,0.00869999176020964,lbfgs,,3000,0.9719225548331786,0.7535042583392477,0.21841829649393085
LogisticRegression,1.5243494003434228,liblinear,,2000,0.9738039103617442,0.7533268275372604,0.22047708282448375
LogisticRegression,4.341060346374688,liblinear,,3000,0.9741928826018273,0.7533268275372604,0.2208660550645669
LogisticRegression,0.0035652377339746794,liblinear,,3000,0.9713033745326379,0.7532381121362669,0.21806526239637103
LogisticRegression,0.0016009313348586745,liblinear,,3000,0.9705809975153405,0.752750177430802,0.21783082008453858
LogisticRegression,0.3143216158816672,liblinear,balanced,2000,0.9745342255880228,0.7512420156139106,0.22329220997411225
LogisticRegression,0.0620674283528551,liblinear,balanced,5000,0.9738277249886881,0.7511089425124201,0.22271878247626797
LogisticRegression,0.21868493251960608,lbfgs,,2000,0.9733276178228668,0.7510645848119234,0.2222630330109434
LogisticRegression,0.03608199797827061,liblinear,,2000,0.9727243139402888,0.7509315117104329,0.22179280222985587
LogisticRegression,0.029390129867750553,lbfgs,,3000,0.9726687464774197,0.7507097232079489,0.2219590232694708
LogisticRegression,0.1245055521470087,lbfgs,,2000,0.9730735951354655,0.7507097232079489,0.2223638719275166
LogisticRegression,0.21443925104532344,lbfgs,,2000,0.9732958649869417,0.7507097232079489,0.22258614177899272
LogisticRegression,0.1838742680864322,liblinear,balanced,2000,0.9744389670802474,0.7503548616039745,0.2240841054762729
LogisticRegression,0.12617751768539995,lbfgs,,2000,0.9731291625983346,0.7501774308019872,0.22295173179634742
LogisticRegression,0.0686381548994401,liblinear,,5000,0.972922769164821,0.75,0.222922769164821
LogisticRegression,0.08839611099250266,liblinear,,2000,0.9730100894636152,0.7499556422995032,0.22305444716411205
LogisticRegression,0.16927316361211314,liblinear,,3000,0.9732085446881474,0.7497338537970192,0.22347469089112826
LogisticRegression,0.00011431219255629515,lbfgs,balanced,3000,0.9705571828883968,0.7480039034776437,0.2225532794107531
LogisticRegression,0.00011821371529801693,lbfgs,,3000,0.9706365649782096,0.7452093683463449,0.22542719663186472
LogisticRegression,0.00019745447651857054,lbfgs,balanced,3000,0.9708826494566296,0.7420599716110717,0.22882267784555788
LogisticRegression,0.0001977922376330891,lbfgs,,3000,0.9711525485619934,0.7387331440738112,0.2324194044881822
