model,C,solver,class_weight,max_iter,train_acc,test_acc,gap,max_depth,min_samples_split,min_samples_leaf,criterion,splitter,ccp_alpha,n_estimators,max_features,bootstrap
RandomForest,,,,,0.9990315385042826,0.8067334989354152,0.1922980395688673,38.0,7.0,5.0,,,,100.0,,True
RandomForest,,,balanced_subsample,,0.9988013304438252,0.8066004258339248,0.1922009046099004,31.0,6.0,7.0,,,,300.0,,True
DecisionTree,,,,,0.997920189246902,0.8064673527324343,0.1914528365144677,25.0,12.0,4.0,entropy,random,1e-05,,,
DecisionTree,,,,,0.9966977050637836,0.8063786373314408,0.1903190677323427,29.0,13.0,11.0,entropy,random,1e-05,,,
RandomForest,,,balanced,,0.9996665952227858,0.806334279630944,0.1933323155918418,34.0,8.0,1.0,,,,100.0,,True
RandomForest,,,balanced,,0.9987775158168812,0.8059794180269695,0.1927980977899118,19.0,10.0,7.0,,,,150.0,,True
DecisionTree,,,,,0.9954434680447396,0.8058019872249823,0.1896414808197574,29.0,17.0,12.0,gini,random,0.0001,,,
DecisionTree,,,,,0.9976661665595008,0.8054471256210078,0.1922190409384929,33.0,40.0,1.0,entropy,random,1e-05,,,
RandomForest,,,,,0.9988807125336382,0.8052253371185237,0.1936553754151144,32.0,3.0,6.0,,,,300.0,,True
DecisionTree,,,,,0.9958562549117668,0.8051366217175302,0.1907196331942365,20.0,30.0,1.0,gini,random,0.0001,,,
DecisionTree,,,,,0.998055138799584,0.8051366217175302,0.1929185170820538,23.0,5.0,13.0,gini,best,0.0,,,
DecisionTree,,,,,0.998055138799584,0.8051366217175302,0.1929185170820538,27.0,9.0,13.0,gini,best,0.0,,,
RandomForest,,,,,0.9988648361156756,0.8050922640170334,0.1937725720986421,40.0,8.0,6.0,,,,100.0,,True
RandomForest,,,balanced,,0.9984441110396672,0.8048704755145494,0.1935736355251178,30.0,19.0,10.0,,,,150.0,,False
DecisionTree,,,,,0.997451834917006,0.8044712562100781,0.1929805787069279,27.0,12.0,6.0,gini,random,1e-05,,,
RandomForest,,,balanced,,0.9997856683575052,0.8039833215046132,0.195802346852892,32.0,5.0,1.0,,,,150.0,,False
RandomForest,,,balanced,,0.9996665952227858,0.8038946061036196,0.1957719891191661,34.0,7.0,1.0,,,,300.0,,False
RandomForest,,,balanced_subsample,,0.9997380391036176,0.8038946061036196,0.1958434329999978,39.0,6.0,1.0,,,,300.0,,True
DecisionTree,,,,,0.9958800695387108,0.8038502484031228,0.1920298211355878,23.0,7.0,15.0,entropy,random,1e-05,,,
DecisionTree,,,,,0.9972851325283988,0.8038502484031228,0.1934348841252761,27.0,16.0,6.0,gini,random,1e-06,,,
RandomForest,,,balanced,,0.998602875219293,0.8038502484031228,0.1947526268161702,25.0,8.0,8.0,,,,300.0,,False
RandomForest,,,,,0.9994760782072348,0.803584102200142,0.1958919760070928,29.0,6.0,3.0,,,,150.0,,False
DecisionTree,,,,,0.996904098497297,0.8034953867991483,0.1934087116981486,28.0,7.0,9.0,gini,random,1e-06,,,
RandomForest,,,balanced,,0.9986663808911432,0.8031405251951739,0.1955258556959694,33.0,4.0,8.0,,,,100.0,,True
RandomForest,,,,,0.998848959697713,0.8030074520936835,0.1958415076040295,30.0,3.0,6.0,,,,100.0,,False
RandomForest,,,balanced_subsample,,0.998658442682162,0.8026082327892122,0.1960502098929498,32.0,5.0,8.0,,,,100.0,,True
RandomForest,,,,,0.9983885435767982,0.8024751596877218,0.1959133838890764,13.0,9.0,3.0,,,,150.0,,True
DecisionTree,,,,,0.9913473522103944,0.8022977288857346,0.1890496233246597,31.0,10.0,6.0,log_loss,random,0.001,,,
DecisionTree,,,,,0.9966738904368396,0.8022533711852378,0.1944205192516018,34.0,20.0,10.0,entropy,random,1e-06,,,
DecisionTree,,,,,0.9966738904368396,0.8022533711852378,0.1944205192516018,30.0,14.0,10.0,log_loss,random,1e-06,,,
DecisionTree,,,,,0.9966738904368396,0.8022533711852378,0.1944205192516018,27.0,16.0,10.0,entropy,random,1e-06,,,
DecisionTree,,,,,0.9966738904368396,0.8022533711852378,0.1944205192516018,24.0,8.0,10.0,log_loss,random,1e-06,,,
DecisionTree,,,,,0.9966738904368396,0.8022533711852378,0.1944205192516018,24.0,15.0,10.0,log_loss,random,1e-06,,,
